"year","month","week","accidents","fatalities"
1996,1,1,313,41
1996,1,2,322,32
1996,1,3,299,29
1996,1,4,327,32
1996,1,5,160,12
1996,1,6,NULL,NULL
1996,2,1,154,15
1996,2,2,326,32
1996,2,3,346,32
1996,2,4,386,34
1996,2,5,256,28
1996,2,6,NULL,NULL
1996,3,1,95,16
1996,3,2,328,32
1996,3,3,353,19
1996,3,4,316,26
1996,3,5,365,19
1996,3,6,55,4
1996,4,1,422,25
1996,4,2,481,47
1996,4,3,362,39
1996,4,4,409,28
1996,4,5,196,18
1996,4,6,NULL,NULL
1996,5,1,312,25
1996,5,2,512,45
1996,5,3,456,28
1996,5,4,539,36
1996,5,5,380,24
1996,5,6,NULL,NULL
1996,6,1,75,4
1996,6,2,579,46
1996,6,3,568,41
1996,6,4,535,38
1996,6,5,534,47
1996,6,6,75,10
1996,7,1,532,49
1996,7,2,597,45
1996,7,3,547,54
1996,7,4,516,43
1996,7,5,292,27
1996,7,6,NULL,NULL
1996,8,1,254,40
1996,8,2,597,60
1996,8,3,510,58
1996,8,4,495,72
1996,8,5,524,62
1996,8,6,NULL,NULL
1996,9,1,534,52
1996,9,2,526,42
1996,9,3,536,48
1996,9,4,510,46
1996,9,5,134,17
1996,9,6,NULL,NULL
1996,10,1,342,22
1996,10,2,483,39
1996,10,3,476,41
1996,10,4,481,49
1996,10,5,342,38
1996,10,6,NULL,NULL
1996,11,1,131,5
1996,11,2,455,44
1996,11,3,445,47
1996,11,4,449,34
1996,11,5,450,41
1996,11,6,NULL,NULL
1996,12,1,377,36
1996,12,2,398,36
1996,12,3,441,36
1996,12,4,418,58
1996,12,5,147,12
1996,12,6,NULL,NULL
1997,1,1,176,19
1997,1,2,347,31
1997,1,3,352,27
1997,1,4,413,36
1997,1,5,337,24
1997,1,6,NULL,NULL
1997,2,1,67,6
1997,2,2,387,20
1997,2,3,408,36
1997,2,4,405,39
1997,2,5,338,22
1997,2,6,NULL,NULL
1997,3,1,45,2
1997,3,2,437,40
1997,3,3,434,32
1997,3,4,376,20
1997,3,5,412,37
1997,3,6,127,7
1997,4,1,288,14
1997,4,2,393,39
1997,4,3,427,37
1997,4,4,443,61
1997,4,5,259,37
1997,4,6,NULL,NULL
1997,5,1,124,11
1997,5,2,392,33
1997,5,3,463,36
1997,5,4,522,38
1997,5,5,502,42
1997,5,6,NULL,NULL
1997,6,1,614,59
1997,6,2,502,29
1997,6,3,526,51
1997,6,4,573,50
1997,6,5,163,10
1997,6,6,NULL,NULL
1997,7,1,462,39
1997,7,2,616,69
1997,7,3,641,39
1997,7,4,621,78
1997,7,5,436,29
1997,7,6,NULL,NULL
1997,8,1,192,13
1997,8,2,579,60
1997,8,3,553,59
1997,8,4,512,31
1997,8,5,497,57
1997,8,6,75,8
1997,9,1,431,28
1997,9,2,523,47
1997,9,3,449,43
1997,9,4,461,37
1997,9,5,183,17
1997,9,6,NULL,NULL
1997,10,1,252,22
1997,10,2,510,56
1997,10,3,520,53
1997,10,4,491,48
1997,10,5,357,25
1997,10,6,NULL,NULL
1997,11,1,67,7
1997,11,2,416,35
1997,11,3,527,46
1997,11,4,397,32
1997,11,5,405,40
1997,11,6,57,6
1997,12,1,368,27
1997,12,2,410,35
1997,12,3,388,26
1997,12,4,435,32
1997,12,5,212,16
1997,12,6,NULL,NULL
1998,1,1,163,16
1998,1,2,387,41
1998,1,3,410,25
1998,1,4,379,43
1998,1,5,367,31
1998,1,6,NULL,NULL
1998,2,1,418,51
1998,2,2,365,29
1998,2,3,415,36
1998,2,4,417,31
1998,2,5,NULL,NULL
1998,2,6,NULL,NULL
1998,3,1,434,41
1998,3,2,371,27
1998,3,3,384,30
1998,3,4,328,27
1998,3,5,155,12
1998,3,6,NULL,NULL
1998,4,1,311,15
1998,4,2,419,23
1998,4,3,438,46
1998,4,4,410,54
1998,4,5,317,25
1998,4,6,NULL,NULL
1998,5,1,144,11
1998,5,2,467,38
1998,5,3,441,46
1998,5,4,494,37
1998,5,5,481,30
1998,5,6,71,8
1998,6,1,611,30
1998,6,2,526,46
1998,6,3,565,54
1998,6,4,512,42
1998,6,5,245,16
1998,6,6,NULL,NULL
1998,7,1,366,38
1998,7,2,623,39
1998,7,3,628,47
1998,7,4,609,70
1998,7,5,512,48
1998,7,6,NULL,NULL
1998,8,1,114,14
1998,8,2,699,72
1998,8,3,587,53
1998,8,4,555,77
1998,8,5,495,48
1998,8,6,129,11
1998,9,1,366,33
1998,9,2,533,52
1998,9,3,577,47
1998,9,4,455,45
1998,9,5,279,27
1998,9,6,NULL,NULL
1998,10,1,236,21
1998,10,2,606,50
1998,10,3,447,44
1998,10,4,507,39
1998,10,5,507,45
1998,10,6,NULL,NULL
1998,11,1,459,24
1998,11,2,436,29
1998,11,3,438,42
1998,11,4,369,32
1998,11,5,99,10
1998,11,6,NULL,NULL
1998,12,1,256,24
1998,12,2,430,49
1998,12,3,378,29
1998,12,4,434,39
1998,12,5,245,23
1998,12,6,NULL,NULL
1999,1,1,88,6
1999,1,2,363,28
1999,1,3,461,38
1999,1,4,443,39
1999,1,5,406,26
1999,1,6,48,5
1999,2,1,308,27
1999,2,2,375,26
1999,2,3,399,35
1999,2,4,376,29
1999,2,5,70,9
1999,2,6,NULL,NULL
1999,3,1,375,32
1999,3,2,456,39
1999,3,3,350,37
1999,3,4,336,22
1999,3,5,170,16
1999,3,6,NULL,NULL
1999,4,1,208,16
1999,4,2,472,42
1999,4,3,455,48
1999,4,4,453,41
1999,4,5,432,49
1999,4,6,NULL,NULL
1999,5,1,83,4
1999,5,2,480,28
1999,5,3,478,41
1999,5,4,487,53
1999,5,5,448,33
1999,5,6,122,8
1999,6,1,341,26
1999,6,2,499,44
1999,6,3,569,51
1999,6,4,552,41
1999,6,5,298,27
1999,6,6,NULL,NULL
1999,7,1,237,24
1999,7,2,547,54
1999,7,3,550,47
1999,7,4,560,57
1999,7,5,596,55
1999,7,6,NULL,NULL
1999,8,1,540,46
1999,8,2,590,70
1999,8,3,532,50
1999,8,4,521,48
1999,8,5,226,19
1999,8,6,NULL,NULL
1999,9,1,316,29
1999,9,2,469,30
1999,9,3,490,37
1999,9,4,480,34
1999,9,5,358,25
1999,9,6,NULL,NULL
1999,10,1,154,13
1999,10,2,501,47
1999,10,3,500,44
1999,10,4,401,47
1999,10,5,449,33
1999,10,6,55,5
1999,11,1,400,34
1999,11,2,443,31
1999,11,3,398,35
1999,11,4,424,37
1999,11,5,193,21
1999,11,6,NULL,NULL
1999,12,1,310,26
1999,12,2,458,49
1999,12,3,388,46
1999,12,4,405,25
1999,12,5,339,32
1999,12,6,NULL,NULL
2000,1,1,55,7
2000,1,2,346,32
2000,1,3,306,19
2000,1,4,369,29
2000,1,5,389,21
2000,1,6,116,16
2000,2,1,294,23
2000,2,2,429,46
2000,2,3,390,26
2000,2,4,318,32
2000,2,5,138,15
2000,2,6,NULL,NULL
2000,3,1,254,14
2000,3,2,440,38
2000,3,3,406,40
2000,3,4,355,17
2000,3,5,337,29
2000,3,6,NULL,NULL
2000,4,1,48,5
2000,4,2,469,38
2000,4,3,423,47
2000,4,4,431,40
2000,4,5,430,42
2000,4,6,71,8
2000,5,1,383,49
2000,5,2,433,38
2000,5,3,487,37
2000,5,4,454,25
2000,5,5,278,13
2000,5,6,NULL,NULL
2000,6,1,236,20
2000,6,2,555,43
2000,6,3,568,39
2000,6,4,520,38
2000,6,5,414,45
2000,6,6,NULL,NULL
2000,7,1,87,7
2000,7,2,562,40
2000,7,3,568,40
2000,7,4,494,42
2000,7,5,511,56
2000,7,6,154,16
2000,8,1,384,34
2000,8,2,546,55
2000,8,3,499,64
2000,8,4,467,53
2000,8,5,328,38
2000,8,6,NULL,NULL
2000,9,1,142,22
2000,9,2,499,35
2000,9,3,452,43
2000,9,4,445,39
2000,9,5,423,35
2000,9,6,NULL,NULL
2000,10,1,435,40
2000,10,2,377,31
2000,10,3,437,45
2000,10,4,399,40
2000,10,5,140,8
2000,10,6,NULL,NULL
2000,11,1,263,22
2000,11,2,417,40
2000,11,3,446,38
2000,11,4,402,42
2000,11,5,232,25
2000,11,6,NULL,NULL
2000,12,1,99,9
2000,12,2,380,41
2000,12,3,469,36
2000,12,4,447,41
2000,12,5,315,19
2000,12,6,40,10
2001,1,1,325,35
2001,1,2,407,46
2001,1,3,304,21
2001,1,4,338,28
2001,1,5,115,9
2001,1,6,NULL,NULL
2001,2,1,237,27
2001,2,2,360,35
2001,2,3,350,26
2001,2,4,368,50
2001,2,5,181,17
2001,2,6,NULL,NULL
2001,3,1,221,20
2001,3,2,402,25
2001,3,3,361,22
2001,3,4,411,22
2001,3,5,373,37
2001,3,6,NULL,NULL
2001,4,1,53,15
2001,4,2,379,33
2001,4,3,328,35
2001,4,4,331,31
2001,4,5,403,33
2001,4,6,65,5
2001,5,1,390,38
2001,5,2,369,18
2001,5,3,399,45
2001,5,4,377,26
2001,5,5,218,12
2001,5,6,NULL,NULL
2001,6,1,203,22
2001,6,2,401,32
2001,6,3,462,29
2001,6,4,390,29
2001,6,5,330,41
2001,6,6,NULL,NULL
2001,7,1,57,7
2001,7,2,429,44
2001,7,3,437,46
2001,7,4,413,41
2001,7,5,432,37
2001,7,6,132,13
2001,8,1,317,40
2001,8,2,424,44
2001,8,3,371,48
2001,8,4,357,46
2001,8,5,269,22
2001,8,6,NULL,NULL
2001,9,1,123,20
2001,9,2,423,38
2001,9,3,396,40
2001,9,4,416,54
2001,9,5,376,34
2001,9,6,NULL,NULL
2001,10,1,402,35
2001,10,2,464,50
2001,10,3,388,41
2001,10,4,378,38
2001,10,5,118,10
2001,10,6,NULL,NULL
2001,11,1,195,17
2001,11,2,317,33
2001,11,3,317,34
2001,11,4,347,40
2001,11,5,255,28
2001,11,6,NULL,NULL
2001,12,1,85,10
2001,12,2,315,36
2001,12,3,344,25
2001,12,4,242,19
2001,12,5,248,25
2001,12,6,33,1
2002,1,1,165,24
2002,1,2,257,18
2002,1,3,277,31
2002,1,4,270,13
2002,1,5,148,11
2002,1,6,NULL,NULL
2002,2,1,178,14
2002,2,2,320,22
2002,2,3,323,21
2002,2,4,313,30
2002,2,5,143,10
2002,2,6,NULL,NULL
2002,3,1,220,24
2002,3,2,360,24
2002,3,3,296,23
2002,3,4,321,36
2002,3,5,252,18
2002,3,6,NULL,NULL
2002,4,1,49,4
2002,4,2,290,26
2002,4,3,287,28
2002,4,4,334,24
2002,4,5,310,24
2002,4,6,52,3
2002,5,1,301,49
2002,5,2,308,23
2002,5,3,368,28
2002,5,4,346,38
2002,5,5,184,18
2002,5,6,NULL,NULL
2002,6,1,129,18
2002,6,2,408,38
2002,6,3,379,32
2002,6,4,390,45
2002,6,5,312,42
2002,6,6,NULL,NULL
2002,7,1,56,5
2002,7,2,411,47
2002,7,3,389,52
2002,7,4,359,54
2002,7,5,364,35
2002,7,6,84,5
2002,8,1,280,33
2002,8,2,338,38
2002,8,3,280,33
2002,8,4,302,35
2002,8,5,221,18
2002,8,6,NULL,NULL
2002,9,1,81,14
2002,9,2,301,30
2002,9,3,335,32
2002,9,4,358,32
2002,9,5,336,33
2002,9,6,NULL,NULL
2002,10,1,333,28
2002,10,2,346,32
2002,10,3,317,26
2002,10,4,350,37
2002,10,5,154,10
2002,10,6,NULL,NULL
2002,11,1,169,20
2002,11,2,281,16
2002,11,3,299,30
2002,11,4,337,29
2002,11,5,240,22
2002,11,6,NULL,NULL
2002,12,1,79,10
2002,12,2,243,24
2002,12,3,281,32
2002,12,4,317,31
2002,12,5,242,29
2002,12,6,36,3
2003,1,1,232,35
2003,1,2,293,28
2003,1,3,289,26
2003,1,4,281,16
2003,1,5,102,6
2003,1,6,NULL,NULL
2003,2,1,152,16
2003,2,2,243,33
2003,2,3,221,18
2003,2,4,224,42
2003,2,5,112,10
2003,2,6,NULL,NULL
2003,3,1,149,15
2003,3,2,240,26
2003,3,3,228,25
2003,3,4,240,33
2003,3,5,203,16
2003,3,6,NULL,NULL
2003,4,1,36,1
2003,4,2,282,25
2003,4,3,267,41
2003,4,4,270,25
2003,4,5,272,24
2003,4,6,34,3
2003,5,1,256,22
2003,5,2,375,33
2003,5,3,361,28
2003,5,4,296,29
2003,5,5,160,10
2003,5,6,NULL,NULL
2003,6,1,120,12
2003,6,2,353,33
2003,6,3,350,34
2003,6,4,319,31
2003,6,5,307,29
2003,6,6,NULL,NULL
2003,7,1,56,5
2003,7,2,389,48
2003,7,3,377,33
2003,7,4,373,38
2003,7,5,397,40
2003,7,6,117,17
2003,8,1,245,33
2003,8,2,439,59
2003,8,3,284,31
2003,8,4,290,16
2003,8,5,218,22
2003,8,6,NULL,NULL
2003,9,1,119,15
2003,9,2,302,38
2003,9,3,316,33
2003,9,4,307,26
2003,9,5,336,41
2003,9,6,NULL,NULL
2003,10,1,356,24
2003,10,2,371,37
2003,10,3,301,36
2003,10,4,314,24
2003,10,5,117,11
2003,10,6,NULL,NULL
2003,11,1,173,19
2003,11,2,298,27
2003,11,3,273,25
2003,11,4,324,29
2003,11,5,220,32
2003,11,6,NULL,NULL
2003,12,1,77,9
2003,12,2,318,30
2003,12,3,276,19
2003,12,4,282,28
2003,12,5,183,29
2003,12,6,36,6
2004,1,1,200,20
2004,1,2,234,28
2004,1,3,289,36
2004,1,4,185,17
2004,1,5,102,10
2004,1,6,NULL,NULL
2004,2,1,144,19
2004,2,2,284,31
2004,2,3,198,11
2004,2,4,251,37
2004,2,5,162,16
2004,2,6,NULL,NULL
2004,3,1,132,16
2004,3,2,224,28
2004,3,3,240,20
2004,3,4,291,30
2004,3,5,277,28
2004,3,6,NULL,NULL
2004,4,1,311,38
2004,4,2,259,34
2004,4,3,277,34
2004,4,4,282,23
2004,4,5,85,8
2004,4,6,NULL,NULL
2004,5,1,248,25
2004,5,2,313,42
2004,5,3,283,27
2004,5,4,336,27
2004,5,5,243,23
2004,5,6,NULL,NULL
2004,6,1,84,9
2004,6,2,334,34
2004,6,3,368,41
2004,6,4,325,33
2004,6,5,342,32
2004,6,6,NULL,NULL
2004,7,1,327,39
2004,7,2,358,48
2004,7,3,336,29
2004,7,4,303,25
2004,7,5,154,17
2004,7,6,NULL,NULL
2004,8,1,199,20
2004,8,2,334,49
2004,8,3,331,39
2004,8,4,346,44
2004,8,5,281,31
2004,8,6,NULL,NULL
2004,9,1,41,8
2004,9,2,310,33
2004,9,3,327,55
2004,9,4,317,30
2004,9,5,299,32
2004,9,6,45,6
2004,10,1,270,35
2004,10,2,306,25
2004,10,3,259,25
2004,10,4,298,34
2004,10,5,141,18
2004,10,6,NULL,NULL
2004,11,1,97,3
2004,11,2,285,30
2004,11,3,307,34
2004,11,4,309,23
2004,11,5,270,24
2004,11,6,NULL,NULL
2004,12,1,47,6
2004,12,2,350,36
2004,12,3,349,34
2004,12,4,320,31
2004,12,5,247,26
2004,12,6,81,4
2005,1,1,234,28
2005,1,2,277,34
2005,1,3,261,21
2005,1,4,267,20
2005,1,5,86,13
2005,1,6,NULL,NULL
2005,2,1,133,13
2005,2,2,232,29
2005,2,3,284,30
2005,2,4,277,17
2005,2,5,105,17
2005,2,6,NULL,NULL
2005,3,1,198,16
2005,3,2,275,27
2005,3,3,304,27
2005,3,4,310,24
2005,3,5,234,24
2005,3,6,NULL,NULL
2005,4,1,52,5
2005,4,2,345,13
2005,4,3,368,26
2005,4,4,349,30
2005,4,5,365,20
2005,4,6,41,4
2005,5,1,293,25
2005,5,2,359,25
2005,5,3,397,38
2005,5,4,365,36
2005,5,5,176,18
2005,5,6,NULL,NULL
2005,6,1,147,18
2005,6,2,397,49
2005,6,3,391,33
2005,6,4,416,38
2005,6,5,354,35
2005,6,6,NULL,NULL
2005,7,1,55,2
2005,7,2,355,36
2005,7,3,416,50
2005,7,4,370,38
2005,7,5,383,39
2005,7,6,95,5
2005,8,1,279,31
2005,8,2,322,47
2005,8,3,302,44
2005,8,4,319,29
2005,8,5,223,26
2005,8,6,NULL,NULL
2005,9,1,104,8
2005,9,2,360,34
2005,9,3,340,32
2005,9,4,332,32
2005,9,5,314,29
2005,9,6,NULL,NULL
2005,10,1,332,24
2005,10,2,329,28
2005,10,3,343,28
2005,10,4,342,47
2005,10,5,132,15
2005,10,6,NULL,NULL
2005,11,1,184,17
2005,11,2,337,35
2005,11,3,309,27
2005,11,4,234,29
2005,11,5,195,27
2005,11,6,NULL,NULL
2005,12,1,67,5
2005,12,2,327,36
2005,12,3,303,27
2005,12,4,321,22
2005,12,5,257,46
2005,12,6,41,10
2006,1,1,236,18
2006,1,2,215,19
2006,1,3,275,27
2006,1,4,193,20
2006,1,5,97,21
2006,1,6,NULL,NULL
2006,2,1,158,17
2006,2,2,263,28
2006,2,3,267,22
2006,2,4,277,25
2006,2,5,113,12
2006,2,6,NULL,NULL
2006,3,1,191,17
2006,3,2,247,30
2006,3,3,259,32
2006,3,4,284,17
2006,3,5,242,22
2006,3,6,NULL,NULL
2006,4,1,61,4
2006,4,2,329,40
2006,4,3,338,24
2006,4,4,333,34
2006,4,5,239,26
2006,4,6,35,6
2006,5,1,246,24
2006,5,2,293,25
2006,5,3,350,26
2006,5,4,331,34
2006,5,5,220,10
2006,5,6,NULL,NULL
2006,6,1,149,19
2006,6,2,364,36
2006,6,3,316,36
2006,6,4,358,43
2006,6,5,305,33
2006,6,6,NULL,NULL
2006,7,1,41,7
2006,7,2,366,43
2006,7,3,354,29
2006,7,4,377,40
2006,7,5,319,49
2006,7,6,110,9
2006,8,1,270,24
2006,8,2,366,43
2006,8,3,275,33
2006,8,4,335,34
2006,8,5,239,34
2006,8,6,NULL,NULL
2006,9,1,129,10
2006,9,2,366,48
2006,9,3,311,48
2006,9,4,301,36
2006,9,5,294,28
2006,9,6,NULL,NULL
2006,10,1,350,31
2006,10,2,277,29
2006,10,3,300,32
2006,10,4,342,27
2006,10,5,117,11
2006,10,6,NULL,NULL
2006,11,1,171,15
2006,11,2,344,25
2006,11,3,323,37
2006,11,4,290,20
2006,11,5,236,20
2006,11,6,NULL,NULL
2006,12,1,107,11
2006,12,2,298,32
2006,12,3,274,33
2006,12,4,306,37
2006,12,5,209,28
2006,12,6,38,7
2007,1,1,233,34
2007,1,2,266,21
2007,1,3,311,30
2007,1,4,293,29
2007,1,5,131,12
2007,1,6,NULL,NULL
2007,2,1,173,18
2007,2,2,270,23
2007,2,3,242,30
2007,2,4,239,23
2007,2,5,118,11
2007,2,6,NULL,NULL
2007,3,1,182,18
2007,3,2,289,31
2007,3,3,323,40
2007,3,4,298,18
2007,3,5,219,26
2007,3,6,NULL,NULL
2007,4,1,34,7
2007,4,2,296,36
2007,4,3,273,28
2007,4,4,327,34
2007,4,5,327,31
2007,4,6,34,1
2007,5,1,253,24
2007,5,2,338,33
2007,5,3,317,26
2007,5,4,287,31
2007,5,5,183,14
2007,5,6,NULL,NULL
2007,6,1,159,13
2007,6,2,295,22
2007,6,3,314,25
2007,6,4,287,23
2007,6,5,296,25
2007,6,6,NULL,NULL
2007,7,1,44,7
2007,7,2,346,42
2007,7,3,378,31
2007,7,4,350,38
2007,7,5,361,45
2007,7,6,82,7
2007,8,1,252,33
2007,8,2,286,34
2007,8,3,251,34
2007,8,4,274,24
2007,8,5,204,18
2007,8,6,NULL,NULL
2007,9,1,82,10
2007,9,2,314,28
2007,9,3,345,48
2007,9,4,307,30
2007,9,5,298,30
2007,9,6,NULL,NULL
2007,10,1,346,37
2007,10,2,295,30
2007,10,3,329,35
2007,10,4,291,30
2007,10,5,87,13
2007,10,6,NULL,NULL
2007,11,1,167,19
2007,11,2,285,25
2007,11,3,303,40
2007,11,4,261,29
2007,11,5,192,12
2007,11,6,NULL,NULL
2007,12,1,90,14
2007,12,2,280,36
2007,12,3,268,26
2007,12,4,269,39
2007,12,5,223,27
2007,12,6,32,4
2008,1,1,182,29
2008,1,2,239,20
2008,1,3,208,30
2008,1,4,239,16
2008,1,5,97,9
2008,1,6,NULL,NULL
2008,2,1,173,23
2008,2,2,249,26
2008,2,3,184,12
2008,2,4,217,21
2008,2,5,135,10
2008,2,6,NULL,NULL
2008,3,1,139,13
2008,3,2,260,27
2008,3,3,228,20
2008,3,4,253,35
2008,3,5,208,25
2008,3,6,NULL,NULL
2008,4,1,273,25
2008,4,2,282,32
2008,4,3,313,31
2008,4,4,274,31
2008,4,5,61,8
2008,4,6,NULL,NULL
2008,5,1,212,31
2008,5,2,296,20
2008,5,3,298,28
2008,5,4,315,20
2008,5,5,244,17
2008,5,6,NULL,NULL
2008,6,1,117,12
2008,6,2,318,36
2008,6,3,358,32
2008,6,4,355,41
2008,6,5,363,31
2008,6,6,NULL,NULL
2008,7,1,371,39
2008,7,2,355,28
2008,7,3,307,25
2008,7,4,314,38
2008,7,5,157,20
2008,7,6,NULL,NULL
2008,8,1,196,30
2008,8,2,321,54
2008,8,3,264,49
2008,8,4,287,40
2008,8,5,260,34
2008,8,6,NULL,NULL
2008,9,1,50,4
2008,9,2,332,39
2008,9,3,341,35
2008,9,4,292,21
2008,9,5,271,31
2008,9,6,43,2
2008,10,1,290,22
2008,10,2,362,38
2008,10,3,321,36
2008,10,4,333,34
2008,10,5,146,10
2008,10,6,NULL,NULL
2008,11,1,139,14
2008,11,2,309,22
2008,11,3,306,28
2008,11,4,259,14
2008,11,5,250,31
2008,11,6,NULL,NULL
2008,12,1,27,1
2008,12,2,275,19
2008,12,3,242,28
2008,12,4,264,17
2008,12,5,252,35
2008,12,6,57,4
2009,1,1,203,32
2009,1,2,243,21
2009,1,3,249,21
2009,1,4,235,18
2009,1,5,107,6
2009,1,6,NULL,NULL
2009,2,1,140,16
2009,2,2,289,25
2009,2,3,274,22
2009,2,4,241,28
2009,2,5,124,17
2009,2,6,NULL,NULL
2009,3,1,153,17
2009,3,2,283,20
2009,3,3,276,15
2009,3,4,282,25
2009,3,5,212,30
2009,3,6,NULL,NULL
2009,4,1,40,1
2009,4,2,286,20
2009,4,3,290,24
2009,4,4,258,27
2009,4,5,293,39
2009,4,6,49,3
2009,5,1,247,18
2009,5,2,313,19
2009,5,3,283,23
2009,5,4,341,43
