"year","month","week","accidents","fatalities"
2009,5,5,197,17
2009,5,6,NULL,NULL
2009,6,1,128,8
2009,6,2,366,41
2009,6,3,343,31
2009,6,4,291,33
2009,6,5,279,27
2009,6,6,NULL,NULL
2009,7,1,57,6
2009,7,2,319,25
2009,7,3,333,41
2009,7,4,363,37
2009,7,5,343,28
2009,7,6,95,7
2009,8,1,243,25
2009,8,2,294,34
2009,8,3,247,31
2009,8,4,285,28
2009,8,5,187,19
2009,8,6,NULL,NULL
2009,9,1,95,5
2009,9,2,291,40
2009,9,3,269,29
2009,9,4,266,35
2009,9,5,281,32
2009,9,6,NULL,NULL
2009,10,1,314,46
2009,10,2,327,39
2009,10,3,254,33
2009,10,4,242,24
2009,10,5,103,12
2009,10,6,NULL,NULL
2009,11,1,116,9
2009,11,2,278,31
2009,11,3,266,18
2009,11,4,295,16
2009,11,5,206,20
2009,11,6,NULL,NULL
2009,12,1,75,6
2009,12,2,261,29
2009,12,3,238,26
2009,12,4,264,15
2009,12,5,231,22
2009,12,6,36,1
2010,1,1,236,21
2010,1,2,249,14
2010,1,3,260,21
2010,1,4,220,18
2010,1,5,117,11
2010,1,6,NULL,NULL
2010,2,1,193,16
2010,2,2,273,20
2010,2,3,246,19
2010,2,4,291,22
2010,2,5,127,2
2010,2,6,NULL,NULL
2010,3,1,186,15
2010,3,2,280,24
2010,3,3,275,18
2010,3,4,288,25
2010,3,5,270,21
2010,3,6,NULL,NULL
2010,4,1,49,29
2010,4,2,271,18
2010,4,3,288,25
2010,4,4,295,17
2010,4,5,319,7
2010,4,6,57,NULL
2010,5,1,259,15
2010,5,2,368,31
2010,5,3,305,25
2010,5,4,318,21
2010,5,5,174,8
2010,5,6,NULL,NULL
2010,6,1,139,10
2010,6,2,316,16
2010,6,3,333,30
2010,6,4,312,24
2010,6,5,280,28
2010,6,6,NULL,NULL
2010,7,1,55,4
2010,7,2,325,22
2010,7,3,300,22
2010,7,4,326,27
2010,7,5,289,24
2010,7,6,89,6
2010,8,1,198,13
2010,8,2,328,36
2010,8,3,301,34
2010,8,4,282,36
2010,8,5,206,30
2010,8,6,NULL,NULL
2010,9,1,98,12
2010,9,2,319,29
2010,9,3,292,18
2010,9,4,275,25
2010,9,5,260,33
2010,9,6,NULL,NULL
2010,10,1,316,38
2010,10,2,250,26
2010,10,3,222,34
2010,10,4,276,20
2010,10,5,110,5
2010,10,6,NULL,NULL
2010,11,1,158,12
2010,11,2,292,26
2010,11,3,259,17
2010,11,4,254,14
2010,11,5,174,19
2010,11,6,NULL,NULL
2010,12,1,79,5
2010,12,2,281,21
2010,12,3,274,22
2010,12,4,279,25
2010,12,5,235,31
2010,12,6,36,1
2011,1,1,203,17
2011,1,2,218,16
2011,1,3,246,16
2011,1,4,210,13
2011,1,5,87,5
2011,1,6,NULL,NULL
2011,2,1,133,8
2011,2,2,282,27
2011,2,3,232,18
2011,2,4,215,12
2011,2,5,81,5
2011,2,6,NULL,NULL
2011,3,1,126,9
2011,3,2,172,17
2011,3,3,240,19
2011,3,4,225,24
2011,3,5,202,16
2011,3,6,NULL,NULL
2011,4,1,30,2
2011,4,2,270,17
2011,4,3,333,25
2011,4,4,263,24
2011,4,5,224,17
2011,4,6,32,NULL
2011,5,1,233,15
2011,5,2,256,20
2011,5,3,279,15
2011,5,4,241,12
2011,5,5,175,9
2011,5,6,NULL,NULL
2011,6,1,138,15
2011,6,2,326,26
2011,6,3,331,17
2011,6,4,302,23
2011,6,5,266,25
2011,6,6,NULL,NULL
2011,7,1,43,30
2011,7,2,314,27
2011,7,3,325,32
2011,7,4,334,31
2011,7,5,286,10
2011,7,6,80,NULL
2011,8,1,233,22
2011,8,2,307,32
2011,8,3,224,20
2011,8,4,268,22
2011,8,5,203,23
2011,8,6,NULL,NULL
2011,9,1,93,11
2011,9,2,281,25
2011,9,3,295,30
2011,9,4,282,29
2011,9,5,265,17
2011,9,6,NULL,NULL
2011,10,1,311,28
2011,10,2,245,25
2011,10,3,256,20
2011,10,4,250,23
2011,10,5,104,10
2011,10,6,NULL,NULL
2011,11,1,151,9
2011,11,2,262,28
2011,11,3,262,16
2011,11,4,280,29
2011,11,5,169,11
2011,11,6,NULL,NULL
2011,12,1,107,12
2011,12,2,283,24
2011,12,3,280,18
2011,12,4,266,20
2011,12,5,193,18
2011,12,6,26,5
2012,1,1,209,13
2012,1,2,204,15
2012,1,3,206,18
2012,1,4,188,29
2012,1,5,72,NULL
2012,1,6,NULL,NULL
2012,2,1,108,5
2012,2,2,139,9
2012,2,3,173,16
2012,2,4,191,25
2012,2,5,94,5
2012,2,6,NULL,NULL
2012,3,1,105,5
2012,3,2,210,8
2012,3,3,194,22
2012,3,4,224,12
2012,3,5,250,24
2012,3,6,NULL,NULL
2012,4,1,262,23
2012,4,2,231,17
2012,4,3,199,15
2012,4,4,266,14
2012,4,5,78,1
2012,4,6,NULL,NULL
2012,5,1,185,14
2012,5,2,242,24
2012,5,3,204,15
2012,5,4,250,16
2012,5,5,167,13
2012,5,6,NULL,NULL
2012,6,1,87,7
2012,6,2,235,15
2012,6,3,295,19
2012,6,4,305,24
2012,6,5,281,18
2012,6,6,NULL,NULL
2012,7,1,299,15
2012,7,2,264,19
2012,7,3,307,37
2012,7,4,269,22
2012,7,5,111,12
2012,7,6,NULL,NULL
2012,8,1,140,9
2012,8,2,240,24
2012,8,3,215,20
2012,8,4,245,30
2012,8,5,214,12
2012,8,6,NULL,NULL
2012,9,1,43,4
2012,9,2,241,24
2012,9,3,275,32
2012,9,4,232,8
2012,9,5,280,24
2012,9,6,34,2
2012,10,1,256,20
2012,10,2,261,20
2012,10,3,250,21
2012,10,4,267,25
2012,10,5,128,10
2012,10,6,NULL,NULL
2012,11,1,107,10
2012,11,2,257,18
2012,11,3,221,17
2012,11,4,209,18
2012,11,5,212,16
2012,11,6,NULL,NULL
2012,12,1,27,3
2012,12,2,246,15
2012,12,3,237,17
2012,12,4,227,22
2012,12,5,192,20
2012,12,6,38,1
2013,1,1,167,22
2013,1,2,209,11
2013,1,3,182,19
2013,1,4,217,14
2013,1,5,86,3
2013,1,6,NULL,NULL
2013,2,1,123,11
2013,2,2,222,16
2013,2,3,170,12
2013,2,4,191,10
2013,2,5,94,6
2013,2,6,NULL,NULL
2013,3,1,131,4
2013,3,2,226,7
2013,3,3,211,14
2013,3,4,206,14
2013,3,5,174,16
2013,3,6,NULL,NULL
2013,4,1,37,1
2013,4,2,237,17
2013,4,3,224,19
2013,4,4,247,21
2013,4,5,238,12
2013,4,6,48,NULL
2013,5,1,194,6
2013,5,2,205,18
2013,5,3,238,11
2013,5,4,276,17
2013,5,5,145,3
2013,5,6,NULL,NULL
2013,6,1,106,6
2013,6,2,300,22
2013,6,3,239,12
2013,6,4,247,26
2013,6,5,185,13
2013,6,6,NULL,NULL
2013,7,1,57,3
2013,7,2,254,15
2013,7,3,265,26
2013,7,4,249,15
2013,7,5,251,21
2013,7,6,71,5
2013,8,1,185,24
2013,8,2,282,26
2013,8,3,215,27
2013,8,4,193,24
2013,8,5,177,18
2013,8,6,NULL,NULL
2013,9,1,71,9
2013,9,2,260,21
2013,9,3,279,29
2013,9,4,232,14
2013,9,5,249,20
2013,9,6,NULL,NULL
2013,10,1,256,14
2013,10,2,226,12
2013,10,3,287,24
2013,10,4,255,12
2013,10,5,115,7
2013,10,6,NULL,NULL
2013,11,1,125,9
2013,11,2,251,18
2013,11,3,176,11
2013,11,4,214,11
2013,11,5,172,18
2013,11,6,NULL,NULL
2013,12,1,53,4
2013,12,2,230,13
2013,12,3,219,19
2013,12,4,249,12
2013,12,5,184,12
2013,12,6,32,3
2014,1,1,177,17
2014,1,2,201,12
2014,1,3,211,18
2014,1,4,199,5
2014,1,5,72,2
2014,1,6,NULL,NULL
2014,2,1,106,6
2014,2,2,238,18
2014,2,3,226,14
2014,2,4,192,10
2014,2,5,97,3
2014,2,6,NULL,NULL
2014,3,1,121,7
2014,3,2,169,16
2014,3,3,222,9
2014,3,4,221,11
2014,3,5,160,7
2014,3,6,NULL,NULL
2014,4,1,22,1
2014,4,2,218,17
2014,4,3,239,16
2014,4,4,177,17
2014,4,5,182,5
2014,4,6,43,NULL
2014,5,1,206,11
2014,5,2,250,21
2014,5,3,254,16
2014,5,4,241,13
2014,5,5,154,6
2014,5,6,NULL,NULL
2014,6,1,95,4
2014,6,2,236,13
2014,6,3,287,14
2014,6,4,265,21
2014,6,5,236,18
2014,6,6,NULL,NULL
2014,7,1,42,2
2014,7,2,285,14
2014,7,3,267,20
2014,7,4,247,23
2014,7,5,234,17
2014,7,6,84,3
2014,8,1,189,18
2014,8,2,235,19
2014,8,3,218,14
2014,8,4,225,24
2014,8,5,182,12
2014,8,6,NULL,NULL
2014,9,1,234,4
2014,9,2,229,10
2014,9,3,209,20
2014,9,4,257,21
2014,9,5,NULL,17
2014,9,6,NULL,NULL
2014,10,1,253,24
2014,10,2,220,5
2014,10,3,241,16
2014,10,4,207,22
2014,10,5,71,5
2014,10,6,NULL,NULL
2014,11,1,114,9
2014,11,2,207,13
2014,11,3,208,13
2014,11,4,199,18
2014,11,5,149,10
2014,11,6,NULL,NULL
2014,12,1,64,7
2014,12,2,218,14
2014,12,3,168,10
2014,12,4,232,20
2014,12,5,205,23
2014,12,6,10,NULL
2015,1,1,113,14
2015,1,2,182,13
2015,1,3,218,11
2015,1,4,182,14
2015,1,5,67,5
2015,1,6,NULL,NULL
2015,2,1,112,9
2015,2,2,160,13
2015,2,3,177,15
2015,2,4,176,12
2015,2,5,75,3
2015,2,6,NULL,NULL
2015,3,1,118,9
2015,3,2,154,9
2015,3,3,176,17
2015,3,4,183,11
2015,3,5,139,9
2015,3,6,NULL,NULL
2015,4,1,29,1
2015,4,2,233,22
2015,4,3,216,15
2015,4,4,225,10
2015,4,5,206,16
2015,4,6,33,3
2015,5,1,176,11
2015,5,2,260,14
2015,5,3,242,15
2015,5,4,257,11
2015,5,5,130,11
2015,5,6,NULL,NULL
2015,6,1,93,7
2015,6,2,244,12
2015,6,3,241,12
2015,6,4,248,22
2015,6,5,180,16
2015,6,6,NULL,NULL
2015,7,1,33,2
2015,7,2,258,21
2015,7,3,297,17
2015,7,4,260,17
2015,7,5,237,12
2015,7,6,86,7
2015,8,1,183,20
2015,8,2,231,26
2015,8,3,202,15
2015,8,4,225,14
2015,8,5,189,21
2015,8,6,NULL,NULL
2015,9,1,78,6
2015,9,2,237,10
2015,9,3,249,19
2015,9,4,220,21
2015,9,5,186,8
2015,9,6,NULL,NULL
2015,10,1,NULL,13
2015,10,2,226,13
2015,10,3,239,11
2015,10,4,199,15
2015,10,5,180,7
2015,10,6,77,NULL
2015,11,1,115,6
2015,11,2,289,11
2015,11,3,230,13
2015,11,4,215,18
2015,11,5,153,12
2015,11,6,NULL,NULL
2015,12,1,75,16
2015,12,2,240,21
2015,12,3,240,17
2015,12,4,262,20
2015,12,5,255,2
2015,12,6,29,NULL
2016,1,1,168,15
2016,1,2,214,18
2016,1,3,176,10
2016,1,4,162,11
2016,1,5,90,10
2016,1,6,NULL,NULL
2016,2,1,123,10
2016,2,2,152,12
2016,2,3,207,15
2016,2,4,182,11
2016,2,5,105,9
2016,2,6,NULL,NULL
2016,3,1,107,10
2016,3,2,204,9
2016,3,3,190,11
2016,3,4,188,14
2016,3,5,175,10
2016,3,6,NULL,NULL
2016,4,1,249,16
2016,4,2,247,12
2016,4,3,254,15
2016,4,4,240,19
2016,4,5,53,6
2016,4,6,NULL,NULL
2016,5,1,142,21
2016,5,2,215,11
2016,5,3,242,17
2016,5,4,239,17
2016,5,5,159,10
2016,5,6,NULL,NULL
2016,6,1,79,5
2016,6,2,259,22
2016,6,3,240,11
2016,6,4,225,21
2016,6,5,219,10
2016,6,6,NULL,NULL
2016,7,1,254,9
2016,7,2,261,24
2016,7,3,270,16
2016,7,4,213,18
2016,7,5,96,12
2016,7,6,NULL,NULL
2016,8,1,128,13
2016,8,2,216,19
2016,8,3,188,16
2016,8,4,201,14
2016,8,5,190,19
2016,8,6,NULL,NULL
2016,9,1,42,2
2016,9,2,226,14
2016,9,3,218,22
2016,9,4,207,14
2016,9,5,227,16
2016,9,6,27,1
2016,10,1,221,24
2016,10,2,221,16
2016,10,3,204,17
2016,10,4,225,17
2016,10,5,118,10
2016,10,6,NULL,NULL
2016,11,1,110,6
2016,11,2,243,11
2016,11,3,236,20
2016,11,4,218,12
2016,11,5,171,16
2016,11,6,NULL,NULL
2016,12,1,28,2
2016,12,2,219,17
2016,12,3,212,13
2016,12,4,204,7
2016,12,5,175,14
2016,12,6,44,5
2017,1,1,146,11
2017,1,2,108,10
2017,1,3,165,11
2017,1,4,159,15
2017,1,5,67,7
2017,1,6,NULL,NULL
2017,2,1,111,6
2017,2,2,168,12
2017,2,3,202,15
2017,2,4,210,13
2017,2,5,66,10
2017,2,6,NULL,NULL
2017,3,1,110,4
2017,3,2,142,12
2017,3,3,157,7
2017,3,4,186,8
2017,3,5,163,10
2017,3,6,NULL,NULL
2017,4,1,26,3
2017,4,2,235,9
2017,4,3,238,19
2017,4,4,159,9
2017,4,5,199,10
2017,4,6,29,1
2017,5,1,230,19
2017,5,2,215,13
2017,5,3,210,5
2017,5,4,215,10
2017,5,5,99,5
2017,5,6,NULL,NULL
2017,6,1,100,5
2017,6,2,222,10
2017,6,3,242,21
2017,6,4,234,17
2017,6,5,200,10
2017,6,6,NULL,NULL
2017,7,1,38,1
2017,7,2,245,13
2017,7,3,233,26
2017,7,4,225,15
2017,7,5,254,16
2017,7,6,55,2
2017,8,1,164,11
2017,8,2,208,17
2017,8,3,195,21
2017,8,4,199,19
2017,8,5,157,8
2017,8,6,NULL,NULL
2017,9,1,81,7
2017,9,2,229,14
2017,9,3,258,13
2017,9,4,260,28
2017,9,5,206,16
2017,9,6,NULL,NULL
2017,10,1,256,17
2017,10,2,251,22
2017,10,3,245,14
2017,10,4,223,12
2017,10,5,81,5
2017,10,6,NULL,NULL
2017,11,1,129,5
2017,11,2,199,17
2017,11,3,180,9
2017,11,4,198,10
2017,11,5,151,11
2017,11,6,NULL,NULL
2017,12,1,62,5
2017,12,2,249,18
2017,12,3,235,15
2017,12,4,208,15
2017,12,5,141,10
2017,12,6,20,2
2018,1,1,166,12
2018,1,2,169,7
2018,1,3,175,8
2018,1,4,183,7
2018,1,5,85,4
2018,1,6,NULL,NULL
2018,2,1,88,4
2018,2,2,205,13
2018,2,3,165,6
2018,2,4,155,8
2018,2,5,71,6
2018,2,6,NULL,NULL
2018,3,1,92,11
2018,3,2,229,18
2018,3,3,191,13
2018,3,4,196,19
2018,3,5,182,8
2018,3,6,NULL,NULL
2018,4,1,39,2
2018,4,2,215,16
2018,4,3,167,8
2018,4,4,190,12
2018,4,5,222,14
2018,4,6,36,2
2018,5,1,178,10
2018,5,2,181,15
2018,5,3,170,15
2018,5,4,205,7
2018,5,5,132,6
2018,5,6,NULL,NULL
2018,6,1,97,5
2018,6,2,222,15
2018,6,3,246,14
2018,6,4,206,5
2018,6,5,168,10
2018,6,6,NULL,NULL
2018,7,1,36,5
2018,7,2,217,11
2018,7,3,239,19
2018,7,4,233,23
2018,7,5,220,13
2018,7,6,71,4
2018,8,1,167,15
2018,8,2,228,13
2018,8,3,171,20
2018,8,4,212,13
2018,8,5,153,9
2018,8,6,NULL,NULL
2018,9,1,64,4
2018,9,2,203,14
2018,9,3,244,18
2018,9,4,232,11
2018,9,5,191,11
2018,9,6,NULL,NULL
2018,10,1,203,10
2018,10,2,236,26
2018,10,3,235,10
2018,10,4,247,13
2018,10,5,89,4
2018,10,6,NULL,NULL
2018,11,1,157,17
2018,11,2,245,17
2018,11,3,208,14
2018,11,4,212,9
2018,11,5,133,6
2018,11,6,NULL,NULL
2018,12,1,43,9
2018,12,2,210,13
2018,12,3,203,13
2018,12,4,223,18
2018,12,5,160,15
2018,12,6,26,3
2019,1,1,117,7
2019,1,2,144,7
2019,1,3,181,14
2019,1,4,167,14
2019,1,5,67,2
2019,1,6,NULL,NULL
2019,2,1,101,6
2019,2,2,172,10
2019,2,3,169,7
2019,2,4,156,12
2019,2,5,95,4
2019,2,6,NULL,NULL
2019,3,1,104,7
2019,3,2,198,9
2019,3,3,195,10
2019,3,4,182,9
2019,3,5,160,4
2019,3,6,NULL,NULL
2019,4,1,34,4
2019,4,2,199,8
2019,4,3,187,11
2019,4,4,222,15
2019,4,5,182,12
2019,4,6,32,NULL
2019,5,1,162,12
2019,5,2,219,12
2019,5,3,225,11
2019,5,4,233,16
2019,5,5,139,14
2019,5,6,NULL,NULL
2019,6,1,82,3
2019,6,2,239,15
2019,6,3,255,20
2019,6,4,244,23
2019,6,5,204,13
2019,6,6,NULL,NULL
2019,7,1,37,2
2019,7,2,266,19
2019,7,3,242,17
2019,7,4,223,16
2019,7,5,236,14
2019,7,6,69,2
2019,8,1,175,9
2019,8,2,243,22
2019,8,3,190,18
2019,8,4,195,20
2019,8,5,166,11
2019,8,6,NULL,NULL
2019,9,1,54,9
2019,9,2,202,17
2019,9,3,255,13
2019,9,4,192,11
2019,9,5,214,20
2019,9,6,NULL,NULL
2019,10,1,261,9
2019,10,2,213,15
2019,10,3,208,12
2019,10,4,227,25
2019,10,5,111,2
2019,10,6,NULL,NULL
2019,11,1,101,9
2019,11,2,192,8
2019,11,3,194,10
2019,11,4,180,9
2019,11,5,171,7
2019,11,6,NULL,NULL
2019,12,1,61,6
2019,12,2,224,14
2019,12,3,178,7
2019,12,4,208,9
2019,12,5,136,12
2019,12,6,22,3
2020,1,1,144,8
2020,1,2,197,11
2020,1,3,163,11
2020,1,4,195,12
2020,1,5,98,8
2020,1,6,NULL,NULL
2020,2,1,126,8
2020,2,2,178,8
2020,2,3,206,8
2020,2,4,216,10
2020,2,5,127,10
2020,2,6,NULL,NULL
2020,3,1,83,4
2020,3,2,192,12
2020,3,3,133,3
2020,3,4,75,5
2020,3,5,35,2
2020,3,6,NULL,NULL
2020,4,1,53,NULL
2020,4,2,84,5
2020,4,3,53,8
2020,4,4,88,8
2020,4,5,34,2
2020,4,6,NULL,NULL
2020,5,1,77,8
2020,5,2,179,9
2020,5,3,191,12
2020,5,4,169,12
2020,5,5,122,11
2020,5,6,NULL,NULL
2020,6,1,60,4
2020,6,2,177,11
2020,6,3,219,10
2020,6,4,230,12
2020,6,5,212,13
2020,6,6,NULL,NULL
2020,7,1,211,14
2020,7,2,214,6
2020,7,3,237,11
2020,7,4,223,23
2020,7,5,97,3
2020,7,6,NULL,NULL
2020,8,1,118,7
2020,8,2,214,17
2020,8,3,189,17
2020,8,4,180,15
2020,8,5,177,12
2020,8,6,NULL,NULL
2020,9,1,34,1
2020,9,2,241,15
2020,9,3,225,15
2020,9,4,240,22
2020,9,5,213,14
2020,9,6,42,1
2020,10,1,181,16
2020,10,2,202,15
2020,10,3,219,13
2020,10,4,202,15
2020,10,5,108,6
2020,10,6,NULL,NULL
2020,11,1,88,9
2020,11,2,177,12
2020,11,3,139,8
2020,11,4,109,10
2020,11,5,138,12
2020,11,6,NULL,NULL
2020,12,1,17,1
2020,12,2,126,10
2020,12,3,101,2
2020,12,4,128,8
2020,12,5,136,8
2020,12,6,41,1
2021,1,1,113,12
2021,1,2,127,7
2021,1,3,118,6
2021,1,4,151,7
2021,1,5,69,5
2021,1,6,NULL,NULL
2021,2,1,94,6
2021,2,2,157,6
2021,2,3,90,4
2021,2,4,121,10
2021,2,5,65,5
2021,2,6,NULL,NULL
2021,3,1,87,6
2021,3,2,150,6
2021,3,3,138,6
2021,3,4,127,11
2021,3,5,125,6
2021,3,6,NULL,NULL
2021,4,1,15,2
2021,4,2,158,8
2021,4,3,179,9
2021,4,4,171,8
2021,4,5,186,8
2021,4,6,31,1
2021,5,1,164,11
2021,5,2,211,11
2021,5,3,235,16
2021,5,4,227,13
2021,5,5,137,12
2021,5,6,NULL,NULL
2021,6,1,98,2
2021,6,2,236,7
2021,6,3,206,15
2021,6,4,227,12
2021,6,5,217,13
2021,6,6,NULL,NULL
2021,7,1,47,3
2021,7,2,257,14
2021,7,3,274,16
2021,7,4,264,18
2021,7,5,281,19
2021,7,6,81,4
2021,8,1,212,9
2021,8,2,210,18
2021,8,3,217,17
2021,8,4,221,15
2021,8,5,159,10
2021,8,6,NULL,NULL
2021,9,1,74,5
2021,9,2,250,18
2021,9,3,222,22
2021,9,4,246,12
2021,9,5,257,16
2021,9,6,NULL,NULL
2021,10,1,270,11
2021,10,2,214,13
2021,10,3,228,9
2021,10,4,240,11
2021,10,5,95,4
2021,10,6,NULL,NULL
2021,11,1,146,14
2021,11,2,223,11
2021,11,3,220,19
2021,11,4,185,13
2021,11,5,124,5
2021,11,6,NULL,NULL
2021,12,1,73,2
2021,12,2,191,12
2021,12,3,170,11
2021,12,4,201,7
2021,12,5,152,13
2021,12,6,20,2
2022,1,1,147,14
2022,1,2,141,13
2022,1,3,169,11
2022,1,4,122,10
2022,1,5,63,6
2022,1,6,NULL,NULL
2022,2,1,99,6
2022,2,2,158,5
2022,2,3,193,10
2022,2,4,188,8
2022,2,5,70,2
2022,2,6,NULL,NULL
2022,3,1,92,2
2022,3,2,142,10
2022,3,3,147,5
2022,3,4,177,7
2022,3,5,171,8
2022,3,6,NULL,NULL
2022,4,1,30,1
2022,4,2,234,10
2022,4,3,254,18
2022,4,4,206,19
2022,4,5,195,11
2022,4,6,27,NULL
2022,5,1,175,14
2022,5,2,243,9
2022,5,3,196,9
2022,5,4,219,18
2022,5,5,108,4
2022,5,6,NULL,NULL
2022,6,1,122,12
2022,6,2,241,11
2022,6,3,204,12
2022,6,4,231,11
2022,6,5,211,12
2022,6,6,NULL,NULL
2022,7,1,38,NULL
2022,7,2,209,13
2022,7,3,214,10
2022,7,4,221,25
2022,7,5,185,15
2022,7,6,56,5
2022,8,1,139,7
2022,8,2,210,18
2022,8,3,162,8
2022,8,4,155,8
2022,8,5,127,13
2022,8,6,NULL,NULL
2022,9,1,71,5
2022,9,2,203,13
2022,9,3,240,14
2022,9,4,230,15
2022,9,5,247,16
2022,9,6,NULL,NULL
2022,10,1,236,18
2022,10,2,227,11
2022,10,3,224,16
2022,10,4,237,22
2022,10,5,101,6
2022,10,6,NULL,NULL
2022,11,1,147,7
2022,11,2,224,16
2022,11,3,202,12
2022,11,4,220,12
2022,11,5,120,7
2022,11,6,NULL,NULL
2022,12,1,63,1
2022,12,2,179,9
2022,12,3,187,13
2022,12,4,232,12
2022,12,5,178,17
2022,12,6,28,2
